rank,region_id,degree,betweenness,pagerank,clustering,strength,hub_score
1,77,17,0.14229801509644954,0.014588045906980747,0.22465224032198,6.65810006,0.8204674114480257
2,19,18,0.021433230826577207,0.012258312287001074,0.3317153379906374,7.58827328,0.6917624456816753
3,3,18,0.017332960581492873,0.015934178279485834,0.22194992427872404,7.40825496,0.6917296068300939
4,24,12,0.12049203242941013,0.015134062490858453,0.17709135746842256,4.7446507,0.6752323867876392
5,18,12,0.10586152269126829,0.00930308232059283,0.3584039592274088,4.80447165,0.6419669886085836
6,93,15,0.018358028142763955,0.010597481567565131,0.38766514137576547,6.586586360000001,0.625038252252211
7,85,14,0.03615692852483459,0.013079898010520756,0.30878905719783023,5.758497070000001,0.6226491235598112
8,101,10,0.1271083775976144,0.01067199675786396,0.27970251777415156,3.9595960100000003,0.6189508944876388
9,10,13,0.02693132047339484,0.010261521913076945,0.4060616016664513,6.2339224600000005,0.6073310984292926
10,131,15,0.025719876991892647,0.010141047413719233,0.35421679606597317,6.0498565200000005,0.6046424932648743
11,21,13,0.0,0.010198782848536545,0.4648188979204407,6.394449369999999,0.592013114569536
12,95,13,0.0,0.00965124058749187,0.4494120276160105,6.02010072,0.5702682819993148
13,48,13,0.004473022085546547,0.01199880718742106,0.36795697939106253,5.54331809,0.5669894225448837
14,29,10,0.08489423166526885,0.011063181101160162,0.2594629277502541,4.12386431,0.5622824498557566
15,122,13,0.004379834125430995,0.011622850780839305,0.3620290824110389,5.376506619999999,0.5558170130332669
